ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,5,Basic M.,Haase R.,138,65,432,762,7,6,6,4,6,4,,,,,3,0,Completed,3,1.36,2.8,1.42,3,1.4,2.99,1.45,3.1,1.45,2.9,1.4
6,Melbourne,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,5,Goffin D.,Stakhovsky S.,16,60,1835,780,3,6,6,3,6,4,6,4,,,3,1,Completed,1.12,6,1.11,5.75,1.12,6,1.16,6.1,1.16,7,1.13,5.86
6,Melbourne,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,5,Dzumhur D.,Edmund K.,81,88,661,625,1,6,7,6,4,6,6,3,6,1,3,2,Completed,3.75,1.25,3.75,1.25,3.75,1.29,3.69,1.33,3.9,1.33,3.62,1.28
6,Melbourne,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,5,Brands D.,Estrella Burgos V.,151,55,393,797,6,4,7,6,4,6,6,1,,,3,1,Completed,1.4,2.75,1.38,3,1.4,3,1.37,3.39,1.45,3.39,1.38,3.03
6,Melbourne,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Kohlschreiber P.,7,34,4235,1185,6,4,6,3,6,3,,,,,3,0,Completed,1.2,4.33,1.22,4,1.22,4.33,1.27,4.22,1.27,4.5,1.23,4.15
6,Melbourne,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,5,Krajicek A.,Wu D.,103,243,571,218,6,4,6,1,6,3,,,,,3,0,Completed,1.66,2.1,1.7,2.1,1.73,2.1,1.8,2.13,1.8,2.2,1.74,2.07
6,Melbourne,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,Mayer L.,20,36,1645,1105,6,2,7,6,4,6,7,6,,,3,1,Completed,1.5,2.5,1.5,2.45,1.53,2.5,1.65,2.38,1.65,2.5,1.57,2.37
6,Melbourne,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,5,Delbonis F.,Karlovic I.,53,24,815,1485,7,6,6,4,2,1,,,,,2,0,Retired,4,1.22,3.75,1.25,4,1.25,3.79,1.31,4,1.31,3.74,1.27
6,Melbourne,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,De Bakker T.,13,98,2405,607,6,7,7,5,6,2,6,4,,,3,1,Completed,1.07,9,1.07,8,1.08,8,1.09,9.65,1.09,9.65,1.07,8.22
6,Melbourne,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,5,Donskoy E.,Cervantes I.,91,72,620,703,6,4,3,6,6,1,6,4,,,3,1,Completed,1.4,2.75,1.58,2.35,1.57,2.38,1.49,2.84,1.61,2.84,1.55,2.43
6,Melbourne,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Bhambri Y.,6,96,4560,610,7,5,6,1,6,2,,,,,3,0,Completed,1.005,34,1.01,13,1.01,26,1.01,34,1.02,41,1.01,20.75
6,Melbourne,Australian Open,18/01/16,Grand Slam,Outdoor,Hard,1st Round,5,Herbert P.H.,Andujar P.,167,62,313,770,5,7,6,4,7,6,6,2,,,3,1,Completed,1.5,2.5,1.45,2.6,1.44,2.75,1.56,2.59,1.57,2.75,1.5,2.54
