ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Haase R.,Berlocq C.,62,67,823,725,6,4,6,3,7,6,,,,,3,0,Completed,1.1,6.5,1.15,5,1.14,5,1.13,7.12,1.17,4.5,1.17,7.12,1.13,5.65
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Monfils G.,De Bakker T.,12,47,2560,950,6,7,2,6,7,5,6,2,6,1,3,2,Completed,1.14,5,1.2,4.25,1.22,4,1.19,5.39,1.2,4,1.22,8,1.18,4.69
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Fognini F.,82,58,599,855,6,1,6,4,6,7,6,4,,,3,1,Completed,1.44,2.62,1.45,2.65,1.44,2.63,1.49,2.83,1.44,2.63,1.55,2.83,1.46,2.63
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Kunitsyn I.,Przysiezny M.,99,84,551,596,6,7,6,4,6,4,7,6,,,3,1,Completed,2.1,1.66,2,1.75,2.1,1.67,2.16,1.78,2.2,1.62,2.23,1.8,2.06,1.72
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Gil F.,Cuevas P.,91,64,571,790,6,4,6,7,4,6,6,3,9,7,3,2,Completed,3,1.36,2.8,1.4,2.75,1.4,3.39,1.37,2.88,1.36,3.5,1.44,3.04,1.36
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Monaco J.,Greul S.,28,131,1480,424,7,6,7,6,6,2,,,,,3,0,Completed,,,,,,,,,1.5,2.63,1.5,3.5,1.38,3.07
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Kubot L.,Querrey S.,72,18,670,1860,5,7,6,2,3,6,6,1,8,6,3,2,Completed,3.5,1.28,3.35,1.28,3.75,1.25,3.69,1.33,3.5,1.25,3.81,1.33,3.6,1.27
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Stakhovsky S.,Brands D.,43,102,970,541,6,2,6,3,6,4,,,,,3,0,Completed,1.2,4.33,1.25,3.75,1.25,3.75,1.23,4.73,1.22,3.75,1.25,4.94,1.22,4.12
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Fish M.,Hanescu V.,17,50,1921,925,2,6,4,6,6,3,7,5,6,3,3,2,Completed,1.3,3.4,1.3,3.3,1.33,3.25,1.35,3.52,1.5,2.63,1.5,3.63,1.33,3.22
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Mayer F.,Davydenko N.,36,25,1143,1555,6,3,4,6,7,6,6,4,,,3,1,Completed,4.5,1.16,4,1.22,3.75,1.25,4.5,1.25,3.5,1.25,4.61,1.25,4.08,1.22
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,Harrison R.,74,172,669,313,6,4,6,3,6,4,,,,,3,0,Completed,1.53,2.37,1.6,2.25,1.57,2.25,1.56,2.62,1.53,2.38,1.62,2.62,1.57,2.34
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Malisse X.,Andujar P.,45,70,956,683,6,1,6,2,7,6,,,,,3,0,Completed,1.06,8,1.11,6,1.1,6.5,1.08,9.65,1.1,6,1.11,9.65,1.08,7.21
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Kohlschreiber P.,Kamke T.,35,65,1195,736,1,6,4,6,7,6,6,4,6,4,3,2,Completed,1.28,3.5,1.25,3.75,1.33,3.25,1.35,3.49,1.25,3.5,1.35,3.75,1.29,3.44
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Lacko L.,2,97,9245,553,6,1,6,1,6,3,,,,,3,0,Completed,,21,1.01,15,1.01,17,1.01,41,1.01,15,1.02,43,1.01,19.75
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Montanes A.,Brown D.,26,89,1495,573,6,4,6,2,3,6,2,6,7,5,3,2,Completed,1.28,3.5,1.3,3.35,1.33,3.25,1.29,4.01,1.29,3.25,1.33,4.01,1.3,3.41
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Roddick A.,Hajek J.,8,96,3565,560,6,1,6,2,6,2,,,,,3,0,Completed,1.005,21,1.01,15,1.02,13,1.02,31,1.02,13,1.03,39.75,1.01,18.7
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Andreev I.,Volandri F.,75,88,644,574,6,3,7,6,6,3,,,,,3,0,Completed,1.06,8,1.1,6.5,1.08,7,1.09,9.4,1.1,6,1.12,9.6,1.08,7.26
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Mahut N.,Dabul B.,132,109,424,510,6,3,6,4,6,4,,,,,3,0,Completed,1.5,2.5,,,1.5,2.5,1.55,2.64,1.53,2.38,1.6,2.64,1.54,2.43
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Golubev A.,105,38,518,1135,6,1,6,4,6,2,,,,,3,0,Completed,1.83,1.83,1.85,1.85,1.91,1.8,1.93,1.97,1.83,1.83,2,2,1.88,1.86
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Troicki V.,Tursunov D.,27,197,1490,263,6,2,3,6,6,2,6,0,,,3,1,Completed,1.12,5.5,1.15,5,1.14,5,1.17,5.98,1.13,5.5,1.19,5.98,1.14,5.35
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Gabashvili T.,19,78,1855,626,7,6,6,4,6,4,,,,,3,0,Completed,1.06,8,1.1,6.5,1.1,6.5,1.08,10.15,1.07,7,1.12,10.15,1.08,7.42
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Devvarman S.,52,108,890,514,7,6,6,3,6,4,,,,,3,0,Completed,1.16,4.5,1.2,4.25,1.22,4,1.25,4.42,1.17,4.5,1.25,5,1.2,4.4
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Crugnola M.,6,237,3955,200,6,4,6,0,6,2,,,,,3,0,Completed,1.02,12,1.02,12,1.04,9,1.03,20,1.03,11,1.04,21,1.03,13.13
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Almagro N.,Robert S.,14,124,2160,460,6,4,6,3,6,7,7,5,,,3,1,Completed,1.1,6.5,1.1,6.5,1.13,5.5,1.16,6.2,1.1,6,1.16,6.75,1.12,5.98
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,Dancevic F.,33,267,1280,172,6,3,6,4,6,4,,,,,3,0,Completed,1.16,4.5,1.2,4.25,1.17,4.5,1.17,5.98,1.14,5,1.22,5.98,1.18,4.73
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Lu Y.H.,34,37,1210,1141,6,7,6,2,6,4,6,2,,,3,1,Completed,1.1,6.5,1.15,5,1.14,5,1.11,8.26,1.13,5.5,1.15,8.26,1.11,6.15
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Paire B.,Cipolla F.,145,248,366,190,6,1,7,5,6,1,,,,,3,0,Completed,2.5,1.5,2.35,1.55,2.25,1.57,2.58,1.57,2.38,1.53,2.75,1.61,2.41,1.54
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Tipsarevic J.,Zverev M.,49,80,935,611,6,3,6,1,6,4,,,,,3,0,Completed,1.14,5,1.2,4.25,1.22,4,1.18,5.61,1.22,3.75,1.25,5.61,1.18,4.61
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Ljubicic I.,Luczak P.,16,148,1965,361,6,3,6,3,7,6,,,,,3,0,Completed,1.33,3.25,1.33,3.1,1.29,3.5,1.41,3.19,1.29,3.25,1.41,3.6,1.32,3.25
6,Melbourne,Australian Open,17/01/11,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Schuettler R.,9,83,3240,597,6,1,6,3,6,2,,,,,3,0,Completed,1.11,6,1.15,5,1.17,4.5,1.16,6.1,1.2,4,1.2,6.5,1.15,5.15
