ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Mayer F.,Dutra Silva R.,74,453,688,86,7,5,0,6,6,3,6,4,,,3,1,Completed,1.5,2.62,1.47,2.5,1.5,2.62,1.56,2.6,1.57,2.65,1.51,2.55
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Edmund K.,Haase R.,42,36,1082,1168,6,3,7,5,6,3,,,,,3,0,Completed,1.9,1.9,1.85,1.85,1.91,1.91,1.88,2.02,1.95,2.02,1.89,1.91
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Carreno Busta P.,King E.,19,308,2225,160,6,3,6,2,7,6,,,,,3,0,Completed,1.08,8,1.07,7,1.08,7.5,1.1,8.67,1.1,9,1.08,7.8
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Chung H.,Zeballos H.,47,58,992,823,3,6,7,6,6,4,6,3,,,3,1,Completed,1.25,4,1.23,3.75,1.28,3.75,1.28,4.14,1.29,4.33,1.25,3.94
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Johnson S.,Almagro N.,46,92,1000,590,6,4,7,6,7,6,,,,,3,0,Completed,1.12,6,1.12,5.4,,,1.16,6.21,1.16,6.8,1.12,6.05
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Norrie C.,Tursunov D.,225,645,229,40,7,6,6,1,,,,,,,2,0,Retired,1.4,3,1.4,2.75,1.44,2.75,1.52,2.72,1.6,3.28,1.44,2.76
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Anderson K.,Aragone J.,32,534,1360,60,6,3,6,3,6,1,,,,,3,0,Completed,1.04,13,1.02,10,1.05,10,1.03,18.88,1.05,19.68,1.03,12.99
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Kukushkin M.,Ferrer D.,103,25,538,1695,4,6,6,3,6,2,6,1,,,3,1,Completed,4.5,1.2,4.3,1.18,4.5,1.2,4.73,1.23,4.9,1.23,4.52,1.2
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Donskoy E.,Haider-Maurer A.,99,506,549,68,7,6,5,1,,,,,,,1,0,Retired,1.28,3.75,1.27,3.45,1.28,3.75,1.29,4.05,1.3,4.05,1.28,3.68
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Sandgren T.,7,105,4155,538,6,4,6,3,3,6,6,3,,,3,1,Completed,1.04,13,1.03,9,1.04,11,1.06,12.02,1.06,13,1.04,10.93
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Gulbis E.,Giannessi A.,255,91,201,610,6,4,6,7,6,2,7,5,,,3,1,Completed,1.25,4,1.25,3.6,1.28,3.75,1.27,4.18,1.3,4.25,1.27,3.8
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Albot R.,Escobedo E.,138,77,405,671,7,5,4,6,6,2,6,4,,,3,1,Completed,1.72,2.1,1.65,2.1,1.73,2.1,1.77,2.18,1.79,2.2,1.71,2.13
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Paire B.,Lacko L.,41,120,1085,472,6,3,6,2,7,6,,,,,3,0,Completed,1.5,2.62,1.45,2.55,1.5,2.62,1.57,2.59,1.57,2.75,1.49,2.61
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Isner J.,Herbert P.H.,15,65,2425,742,6,1,6,3,4,6,6,3,,,3,1,Completed,1.14,5.5,1.14,5,1.17,5,1.17,5.8,1.19,6.5,1.16,5.2
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Tsonga J.W.,Copil M.,12,87,2690,618,6,3,6,3,6,4,,,,,3,0,Completed,1.1,7,1.08,6.5,1.11,6.5,1.09,9.28,1.11,9.5,1.09,7.63
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Schwartzman D.,Berlocq C.,33,95,1280,566,6,2,6,1,6,3,,,,,3,0,Completed,1.2,4.5,1.2,4.1,1.22,4.33,1.23,4.73,1.25,4.73,1.22,4.24
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Ramos-Vinolas A.,Istomin D.,24,86,1815,634,4,6,7,6,7,5,6,7,7,5,3,2,Completed,1.3,3.5,1.28,3.35,1.3,3.5,1.38,3.31,1.4,3.5,1.32,3.36
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Lorenzi P.,Sousa J.,40,50,1100,950,4,6,6,3,7,6,6,2,,,3,1,Completed,2.62,1.5,2.55,1.45,2.75,1.44,2.89,1.47,2.95,1.5,2.71,1.46
53,New York,US Open,28/08/17,Grand Slam,Outdoor,Hard,1st Round,5,Sela D.,Eubanks C.,71,324,703,151,6,2,6,4,6,2,,,,,3,0,Completed,1.25,4,1.28,3.35,1.33,3.4,1.32,3.78,1.33,4,1.29,3.63
