ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
36,London,Wimbledon,22/06/09,Grand Slam,Outdoor,Grass,1st Round,5,Minar I.,Gonzalez M.,78,62,871,956,6,4,3,6,7,5,6,0,,,3,1,Completed,1.33,3.25,1.35,3.1,1.364,3,1.36,2.88,1.37,3
36,London,Wimbledon,22/06/09,Grand Slam,Outdoor,Grass,1st Round,5,Gicquel M.,Mannarino A.,59,128,1005,581,6,2,6,2,6,4,,,,,3,0,Completed,1.4,2.75,1.45,2.6,1.4,2.75,1.36,2.88,1.42,2.8
36,London,Wimbledon,22/06/09,Grand Slam,Outdoor,Grass,1st Round,5,Kohlschreiber P.,Serra F.,32,54,1540,1056,7,6,6,1,6,4,,,,,3,0,Completed,1.16,4.5,1.2,4.25,1.2,4.333,1.2,4,1.23,4
36,London,Wimbledon,22/06/09,Grand Slam,Outdoor,Grass,1st Round,5,Seppi A.,Blake J.,50,17,1090,2340,7,5,6,4,7,6,,,,,3,0,Completed,5.5,1.12,5,1.16,4.5,1.167,4.5,1.17,5,1.16
36,London,Wimbledon,22/06/09,Grand Slam,Outdoor,Grass,1st Round,5,Almagro N.,Monaco J.,48,69,1115,905,6,7,6,7,7,6,6,4,7,6,3,2,Completed,1.61,2.2,1.6,2.25,1.833,1.833,1.67,2.1,1.65,2.18
36,London,Wimbledon,22/06/09,Grand Slam,Outdoor,Grass,1st Round,5,Garcia-Lopez G.,Calleri A.,42,148,1186,495,6,2,6,3,6,2,,,,,3,0,Completed,1.08,7,1.12,5.9,1.143,5,1.05,8,1.1,6.75
36,London,Wimbledon,22/06/09,Grand Slam,Outdoor,Grass,1st Round,5,Beck K.,Lopez F.,143,27,518,1665,1,6,7,5,6,3,4,6,7,6,3,2,Completed,4.33,1.2,4.75,1.17,4.333,1.2,4.5,1.17,3.8,1.25
36,London,Wimbledon,22/06/09,Grand Slam,Outdoor,Grass,1st Round,5,Federer R.,Lu Y.H.,2,65,10620,932,7,5,6,3,6,2,,,,,3,0,Completed,1.002,34,1.01,33,1.005,21,1.005,21,1.01,30
36,London,Wimbledon,22/06/09,Grand Slam,Outdoor,Grass,1st Round,5,Sela D.,Gonzalez S.,46,228,1162,304,6,4,4,6,7,6,6,3,,,3,1,Completed,1.36,3,1.41,2.8,1.444,2.625,1.53,2.38,1.4,2.88
36,London,Wimbledon,22/06/09,Grand Slam,Outdoor,Grass,1st Round,5,Granollers M.,Beck A.,111,58,675,1012,6,2,6,4,6,7,6,2,,,3,1,Completed,5.5,1.12,5.5,1.13,5,1.143,5.5,1.13,5.2,1.15
36,London,Wimbledon,22/06/09,Grand Slam,Outdoor,Grass,1st Round,5,Bolelli S.,Koellerer D.,63,91,951,788,6,7,2,6,7,5,6,4,6,4,3,2,Completed,1.1,6.5,1.1,6.25,1.1,6.5,1.08,6.5,1.13,5.7
36,London,Wimbledon,22/06/09,Grand Slam,Outdoor,Grass,1st Round,5,Tsonga J.W.,Golubev A.,9,73,3510,887,6,3,5,7,7,6,7,6,,,3,1,Completed,1.03,11,1.04,9.25,1.05,8.5,1.06,7.5,1.06,8.7
36,London,Wimbledon,22/06/09,Grand Slam,Outdoor,Grass,1st Round,5,Fish M.,Roitman S.,25,124,1735,613,6,3,6,2,4,1,,,,,2,0,Retired,1.01,13,1.03,10.5,1.02,11,1.03,10,1.02,14
36,London,Wimbledon,22/06/09,Grand Slam,Outdoor,Grass,1st Round,5,Tipsarevic J.,Hernych J.,51,67,1075,921,6,4,6,4,7,6,,,,,3,0,Completed,1.2,4.33,1.21,4.28,1.22,4,1.22,3.75,1.22,4.1
